#vx_mps,vy_mps,dpsi_radps,ax_mps2,ay_mps2,deltawheel_rad,TwheelRL_Nm,TwheelRR_Nm
20.6886439924384,-0.168711070607966,0.018119571730495,4.64995002746582,0.909600019454956,0.005934119224548,1218.75,1225
20.7287337642398,-0.165325250718887,0.024918498471379,4.77379989624023,1.0764000415802,0.005934119224548,1218.75,1225
20.7670971933293,-0.163018396570031,0.024233691394329,4.60589981079102,0.628000020980835,0.006806784309447,1187.5,1225
20.8055317624164,-0.160982082978958,0.010391783900559,4.56090021133423,0.643850028514862,0.006806784309447,1187.5,1225
20.8461884304622,-0.160414005495799,0.015551247633994,4.85249996185303,0.481499999761581,0.005934119224548,1218.75,1181.25
20.8847893804875,-0.161333369858999,0.016385436058044,4.82009983062744,0.291200011968613,0.006806784309447,1218.75,1200
20.9245188747234,-0.165841768672587,0.016885574907064,4.93804979324341,-0.114900000393391,0.006806784309447,1218.75,1225
20.9657022306218,-0.169910248773947,0.030524294823408,5.19369983673096,-0.040500000119209,0.006806784309447,1218.75,1206.25
21.0051258413493,-0.172457592240268,0.019386768341065,5.09894990921021,0.016550000756979,0.006806784309447,1218.75,1206.25
21.0464148170194,-0.179108392188633,0.028410835191608,5.05154991149902,-0.112049996852875,0.006806784309447,1218.75,1225
21.0866403888453,-0.183399524826393,0.02505050599575,4.92799997329712,0.028599999845028,0.006806784309447,1218.75,1206.25
21.1271982218254,-0.190626765288442,0.03386702761054,5.09320020675659,-0.317200005054474,0.006806784309447,1218.75,1225
21.1675563554373,-0.201077869184401,0.022232566028833,4.80684995651245,-0.661800026893616,0.006806784309447,1218.75,1225
21.2090094335993,-0.209134986759091,0.025577824562788,5.08650016784668,-0.190500006079674,0.006806784309447,1218.75,1225
21.2493327754243,-0.216742225167656,0.022240627557039,4.86959981918335,-0.331149995326996,0.006806784309447,1218.75,1193.75
21.288180763017,-0.218342940932721,0.020599968731403,4.91344976425171,0.335099995136261,0.006806784309447,1218.75,1206.25
21.3281577422651,-0.216518350542226,0.026190038770437,4.72704982757568,0.653150022029877,0.006806784309447,1218.75,1193.75
21.3674509082129,-0.210634219042575,0.02543536759913,4.60750007629395,1.09570002555847,0.007679448928684,1218.75,1212.5
21.4064690013449,-0.203054934567341,0.023384900763631,4.79390001296997,1.22185003757477,0.007679448928684,1218.75,1212.5
21.4461277410739,-0.193546674720672,0.026147358119488,4.85305023193359,1.50185000896454,0.007679448928684,1218.75,1206.25
21.4840165108276,-0.18175007438645,0.02571109496057,4.52239990234375,1.42480003833771,0.008552113547921,1218.75,1200
